Link_Text,Link_URL
"



",https://sport.detik.com/fotosport/d-7533207/kemeriahan-pembukaan-pon-xxi-aceh-sumut
"
					Kemeriahan Pembukaan PON XXI Aceh-Sumut                ",https://sport.detik.com/fotosport/d-7533207/kemeriahan-pembukaan-pon-xxi-aceh-sumut
"



",https://sport.detik.com/sepakbola/bola-dunia/d-7533150/kok-virgil-van-dijk-ogah-salaman-dengan-joshua-zirkzee
"
					Kok Virgil van Dijk Ogah Salaman dengan Joshua Zirkzee?                ",https://sport.detik.com/sepakbola/bola-dunia/d-7533150/kok-virgil-van-dijk-ogah-salaman-dengan-joshua-zirkzee
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533115/eks-persib-asal-australia-ini-ingatkan-timnas-indonesia-agak-laen
"
					Eks Persib asal Australia Ini Ingatkan Timnas Indonesia 'Agak Laen'                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533115/eks-persib-asal-australia-ini-ingatkan-timnas-indonesia-agak-laen
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533114/indonesia-vs-australia-garuda-bakal-habis-habisan
"
					Indonesia Vs Australia: Garuda Bakal Habis-Habisan                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533114/indonesia-vs-australia-garuda-bakal-habis-habisan
"



",https://sport.detik.com/sepakbola/bola-dunia/d-7533113/hasil-lengkap-uefa-nations-league-tadi-malam
"
					Hasil Lengkap UEFA Nations League Tadi Malam                ",https://sport.detik.com/sepakbola/bola-dunia/d-7533113/hasil-lengkap-uefa-nations-league-tadi-malam
"



",https://sport.detik.com/sepakbola/bola-dunia/d-7533082/kata-ronald-koeman-usai-2-pemain-belanda-ribut-di-sesi-latihan
"
					Kata Ronald Koeman Usai 2 Pemain Belanda Ribut di Sesi Latihan                ",https://sport.detik.com/sepakbola/bola-dunia/d-7533082/kata-ronald-koeman-usai-2-pemain-belanda-ribut-di-sesi-latihan
"



",https://sport.detik.com/sepakbola/bola-dunia/d-7533081/italia-makin-kuat
"
					Italia Makin Kuat                ",https://sport.detik.com/sepakbola/bola-dunia/d-7533081/italia-makin-kuat
"
            Indeks Berita 
",https://sport.detik.com/indeks
,https://lapangbola.com/
Selengkapnya ,https://sport.detik.com/klasemen/
"
                            olimpiade 2024                        ",https://www.detik.com/tag/olimpiade-2024
"
                            motogp 2024                        ",https://www.detik.com/tag/motogp-2024
"
                            Susunan Pemain Indonesia Vs Australia: Marselino Starter, Haye Cadangan                        ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534327/susunan-pemain-indonesia-vs-australia-marselino-starter-haye-cadangan
"
                            30 Menit Jelang Indonesia Vs Australia, GBK Jadi Lautan Merah                        ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534380/30-menit-jelang-indonesia-vs-australia-gbk-jadi-lautan-merah
"
                            Psywar STY ke Australia, Bawa-bawa Ranking FIFA?                        ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534003/psywar-sty-ke-australia-bawa-bawa-ranking-fifa
"
                            Timnas Indonesia Vs Australia: Garuda Pakai Jersey Putih                        ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533984/timnas-indonesia-vs-australia-garuda-pakai-jersey-putih
"
                            Suporter Timnas Indonesia Mulai Padati GBK                        ",https://sport.detik.com/sepakbola/foto-sepakbola/d-7534307/suporter-timnas-indonesia-mulai-padati-gbk
"
            Lihat Selengkapnya 
",https://www.detik.com/terpopuler/sport
"

",https://www.detik.com
"
 ",https://www.whatsapp.com/channel/0029Va87gcMEwEjrcI2Hd92i
"
 ",https://www.facebook.com/detikcom
"
 ",https://twitter.com/detikcom
"
 ",https://www.instagram.com/detikcom/
"
 ",https://www.linkedin.com/company/detik-com/
"
 ",https://www.youtube.com/detikcom
"
 ",https://www.tiktok.com/@detikcom
"
									detikNews								",https://news.detik.com
"
									detikEdukasi								",https://www.detik.com/edu
"
									detikFinance								",https://finance.detik.com
"
									detikInet								",https://inet.detik.com
"
									detikHot								",https://hot.detik.com
"
									detikSport								",https://sport.detik.com
"
									Sepakbola								",https://sport.detik.com/sepakbola
"
									detikOto								",https://oto.detik.com
"
									detikProperti								",https://www.detik.com/properti
"
									detikTravel								",https://travel.detik.com
"
									detikFood								",https://food.detik.com
"
									detikHealth								",https://health.detik.com
"
									Wolipop								",https://wolipop.detik.com
"
									detikX								",https://news.detik.com/x/
"
									20Detik								",https://20.detik.com
"
									detikFoto								",https://foto.detik.com
"
									detikHikmah								",https://www.detik.com/hikmah
